id,2020,2021,2022,2023,2024
59409,C,C,C,C,C
59418,C,C,C,C,C
59435,C,C,C,C,C
59448,C,C,C,C,C
59478,C,C,C,C,C
59481,C,C,C,C,C
59485,C,C,C,C,C
59516,C,C,C,C,C
59521,C,C,C,C,C
59526,C,C,C,C,C
59596,C,C,C,C,C
59614,C,C,C,C,C
59649,C,C,C,C,C
60041,C,C,C,C,C
60056,C,C,C,C,C
60060,C,C,C,C,C
60091,C,C,C,C,C
60120,C,C,C,C,C
60153,C,C,C,C,C
60168,C,C,C,C,C
60237,C,C,C,C,C
60261,C,C,C,C,C
60443,C,C,C,C,C
60528,C,-,C,C,C
60540,C,C,C,C,C
60564,C,C,C,C,C
60566,C,C,C,C,C
60584,C,C,C,C,C
60587,C,C,C,C,C
60642,C,C,C,C,C
60651,C,C,C,C,C
60688,C,C,C,C,C
61040,C,C,C,C,C
61041,C,-,C,-,C
61054,C,C,C,C,C
61158,C,C,C,C,C
61167,C,C,C,C,C
61288,C,C,C,C,C
61336,C,-,C,-,C
61373,C,C,C,C,C
61390,C,C,C,C,C
61393,C,C,C,C,C
61396,C,C,C,C,C
61483,C,C,C,C,C
62034,C,C,C,C,C
62065,C,C,C,C,C
62076,C,C,C,C,C
62146,C,C,C,C,C
62149,C,C,C,C,C
62211,C,C,C,C,C
62273,C,C,C,C,C
62281,C,C,C,C,C
62304,C,C,C,C,C
62340,C,C,C,C,C
62385,C,C,C,C,C
62386,C,C,C,C,C
62407,C,C,C,C,C
62465,C,C,C,C,C
62473,C,C,C,C,C
62527,C,C,C,C,C
62542,-,C,-,C,-
62574,C,C,C,C,C
62633,C,C,C,C,C
62662,C,C,C,C,C
62719,C,C,C,C,C
62732,C,C,C,C,C
62734,C,C,C,C,C
62735,C,C,C,C,C
62833,C,C,C,C,C
62869,C,C,C,C,C
63007,C,C,C,-,C
63042,C,C,C,C,C
63047,C,C,C,C,C
63056,C,C,C,C,C
63107,C,C,C,C,C
63150,C,C,C,C,C
63162,C,-,-,C,C
63184,-,-,-,-,C
63215,C,C,C,C,C
63305,C,C,C,C,C
63348,C,C,C,N,C
63358,C,C,C,C,C
63404,C,C,C,C,C
63412,C,C,C,C,C
63431,-,-,-,C,-
63450,C,C,C,C,C
64018,C,C,C,C,C
64034,C,C,C,C,C
64068,C,C,C,C,C
64086,C,C,C,C,C
64105,C,C,C,C,C
64120,C,C,C,C,C
64129,C,C,C,C,C
64131,C,C,C,C,C
64149,C,C,C,C,C
64156,C,C,C,C,C
64182,C,C,C,C,N
64226,C,C,C,C,C
64228,C,C,C,C,C
64241,C,C,C,C,C
64245,C,C,C,C,C
64322,C,-,C,C,-
64365,C,C,C,C,C
64374,C,C,C,C,C
64463,C,C,C,C,C
64491,C,C,C,C,C
64502,C,C,C,C,C
64531,C,C,C,C,C
65012,C,C,C,C,C
65035,C,C,C,C,C
65057,C,C,C,C,C
65072,C,C,C,C,C
65086,C,C,C,C,C
65092,C,-,C,C,C
65103,C,C,C,C,C
65181,C,C,C,C,C
65215,C,C,C,C,C
65252,C,C,C,C,C
65310,C,C,C,C,C
65326,C,C,C,C,C
65327,C,C,C,C,C
65396,C,C,C,C,C
65424,C,-,-,-,C
65448,C,C,C,C,C
65463,-,-,-,C,C
66016,C,C,C,C,C
66112,C,C,C,C,C
66130,C,C,C,C,C
66150,C,C,C,C,C
66160,C,C,C,C,N
66188,C,C,C,C,C
66196,C,C,C,C,C
66220,C,C,C,C,C
66232,C,C,-,-,-
67160,C,C,C,C,C
67190,C,C,C,C,C
67306,C,C,C,C,C
67330,C,C,C,C,C
67341,C,C,C,C,C
67360,C,C,C,C,C
67378,C,C,C,C,C
67418,C,C,C,C,C
67444,C,C,C,C,C
67508,C,C,C,C,C
67509,C,C,C,C,C
67545,C,C,C,C,C
67550,C,C,C,C,C
68010,C,C,C,C,C
68014,C,C,C,-,C
68063,C,C,C,C,C
68094,C,C,C,C,C
68141,C,C,C,C,C
68242,C,C,C,C,C
68259,C,C,-,-,C
68320,C,C,C,C,C
68334,C,C,C,C,C
68373,-,-,C,C,-
69078,C,C,C,C,C
69081,C,C,C,C,C
69217,C,C,C,C,C
69227,C,C,C,C,C
69299,C,C,C,C,C
70063,C,C,C,C,C
70064,C,-,-,C,-
70075,C,C,C,-,C
70113,-,C,C,C,-
70208,C,C,C,C,C
70216,C,C,C,C,C
04008,C,C,C,C,C
04023,C,C,C,C,C
04034,C,C,C,C,C
04040,C,C,-,C,C
04046,C,C,C,C,C
04054,-,C,C,-,-
04067,-,C,-,C,-
04107,C,-,-,-,-
04121,C,C,C,C,C
04134,C,C,C,C,C
04143,C,C,C,C,C
04151,C,C,C,C,C
04167,C,C,C,C,C
04222,C,C,C,C,C
05158,-,-,C,-,C
05165,-,C,C,C,C
05179,C,C,C,C,C
05180,C,C,C,C,C
06044,C,C,C,C,C
06087,C,C,C,C,C
06096,C,C,C,-,-
06145,-,-,-,-,-
07035,C,C,C,C,N
07112,C,C,C,C,C
07128,C,C,C,-,C
07154,C,C,C,N,C
07171,C,C,C,C,C
07232,C,C,C,C,C
07280,C,C,C,C,C
07339,C,C,C,C,C
07348,C,C,C,C,C
08037,C,C,C,C,C
08097,C,C,C,C,C
08122,C,C,C,C,C
08166,C,C,C,C,C
08167,C,C,C,C,C
08220,C,C,C,C,-
08255,C,C,C,C,C
08310,C,C,C,C,C
08346,C,C,C,C,C
08386,C,C,C,C,C
08395,C,C,C,C,C
08396,-,C,C,C,C
08406,-,C,C,-,C
08421,C,C,C,C,C
08444,C,C,C,C,C
08453,C,-,C,-,C
08479,C,C,C,C,C
08482,C,C,C,C,C
08499,C,C,C,C,C
09007,C,C,C,C,C
09108,-,C,-,C,-
